864	34.6812
20.8087	24.2768	6.93624
4.51638	15.238	2.6315
20.513	28.9298	20.7596
20.8087	24.2768	17.3406
20.8087	24.2768	20.8087
24.3841	31.432	24.1299
20.8087	24.2768	27.745
20.8087	24.2768	31.2131
27.8223	34.5038	13.8939
20.8087	27.745	3.46812
20.8087	27.745	6.93624
22.3436	28.2013	10.2936
20.8087	27.745	13.8725
20.8087	27.745	17.3406
27.7739	29.1025	17.3478
19.367	31.5388	30.8031
28.8435	30.5712	23.616
20.8087	27.745	31.2131
20.8087	31.2131	0
20.8087	31.2131	3.46812
20.8087	31.2131	6.93624
26.6373	31.7298	15.9705
9.98666	4.87706	10.1816
20.8873	34.5634	27.1186
23.4637	30.8853	20.6513
20.8087	31.2131	24.2768
20.8087	31.2131	27.745
22.627	27.3925	34.6278
24.9581	0.330652	0.382544
31.121	8.58377	10.7573
25.9481	3.8805	31.7026
24.2768	0	10.4044
16.5819	20.2415	6.99779
24.2768	0	17.3406
28.9255	29.8402	30.8003
24.2768	0	24.2768
24.2768	0	27.745
30.904	32.7728	3.53581
31.8932	1.36459	29.126
24.2768	3.46812	3.46812
17.757	10.5028	27.0072
24.2768	3.46812	10.4044
1.6244	23.4516	20.7031
24.2768	3.46812	17.3406
24.2768	3.46812	20.8087
24.2768	3.46812	24.2768
24.3436	4.00797	28.2765
3.96626	3.56611	19.8767
24.1356	7.60339	33.8301
28.2825	0.326442	2.46441
26.0768	5.48372	7.56434
6.84775	3.41751	8.08755
24.377	8.02992	14.0296
24.2768	6.93624	17.3406
24.2768	6.93624	20.8087
17.0694	17.2754	16.9779
24.0257	7.19709	29.0593
31.3167	11.2082	33.6214
23.8483	4.4685	0.373541
24.2768	10.4044	3.46812
33.9929	9.59555	16.5625
23.0897	10.4113	17.4746
31.0657	3.69585	9.07187
3.12672	12.0228	6.87227
24.2768	10.4044	20.8087
24.2768	10.4044	24.2768
24.2768	10.4044	27.745
24.2768	10.4044	31.2131
0.065264	9.64516	3.28709
27.2067	6.71724	0.439175
24.2768	13.8725	6.93624
20.8952	10.292	15.0133
23.9662	11.4477	14.139
34.0075	17.2265	17.5466
33.4505	20.1339	27.4576
25.3031	16.458	24.0786
24.2768	13.8725	27.745
30.7845	11.6484	27.5646
24.2768	17.3406	0
24.2768	17.3406	3.46812
31.3633	4.55178	28.4134
24.2768	17.3406	10.4044
30.6207	22.7848	13.0925
24.5867	2.30304	7.20911
31.0581	15.4071	20.1111
32.4605	16.2361	29.6469
24.6364	17.845	27.3728
23.9382	19.0427	31.5068
24.2768	20.8087	0
24.2768	20.8087	3.46812
24.2768	20.8087	6.93624
24.2768	20.8087	10.4044
24.2768	20.8087	13.8725
26.1365	25.4624	16.0335
24.2768	20.8087	20.8087
24.2768	20.8087	24.2768
31.6117	19.408	23.7051
2.95788	3.216	29.3459
24.2768	24.2768	0
24.2768	24.2768	3.46812
24.2768	24.2768	6.93624
24.2768	24.2768	10.4044
30.9433	15.9267	11.2849
7.07965	28.6429	28.1266
27.0469	28.3298	26.2237
24.2768	24.2768	24.2768
23.9037	26.3578	28.3808
24.2768	24.2768	31.2131
24.3466	0.655817	30.9696
28.657	21.8373	28.1163
28.6612	0.560989	32.8321
33.6988	30.3414	1.59598
24.2768	27.745	13.8725
28.1663	20.9901	14.9954
24.2768	27.745	20.8087
28.0718	22.7604	22.8032
31.5964	29.7064	26.2898
28.6111	30.8787	27.6169
1.50942	27.9574	3.30421
24.3708	31.048	3.43547
24.2768	31.2131	6.93624
24.2768	31.2131	10.4044
31.5408	26.5786	18.56
28.1617	24.5221	25.633
3.58383	32.1456	14.4895
31.5829	4.46994	22.1414
17.7694	24.1609	24.0685
24.7156	34.3106	4.54154
31.2278	22.6265	0.285016
33.5558	30.7924	8.03513
27.745	0	6.93624
27.745	0	10.4044
34.533	27.7103	6.75961
27.745	0	17.3406
